Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C9",C_0805,3,10uF,C15850
"C10, C13",C_0402,2,1uF,C52923
"C11, C12, C3, C4, C5, C6",C_0402,6,100nF,C1525
"C15, C16",C_0402,2,30pF,C1570
D2,D_0603,1,Red,C2286
D3,D_0805,1,Green,C2297
"J1, J10, J7, J8",2-position,4,Conn_01x02,
"J2, J3",3-position,2,Conn_01x03,
"J4, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J6,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
L2,IND-SMD_L3.5-W3.0,1,4.7uH,
"R1, R11",R_0402,2,10kΩ,C25744
"R10, R9",R_1206,2,100mΩ,C25334
"R2, R3",R_0402,2,5.1kΩ,C25905
"R4, R5",R_0603,2,27Ω,C25190
R6,R_0402,1,1kΩ,C11702
R7,R_0402,1,510Ω,C25123
R8,R_0603,1,430Ω,C23170
"S1, S2",SW_TS-1088-AR02016,2,"Tactile Button, 160gf",C720477
TP1,TestPoint_Pad_D1.0mm,1,GPIO0,
TP2,TestPoint_Pad_D1.0mm,1,GPIO4,
TP3,TestPoint_Pad_D1.0mm,1,GPIO5,
TP4,TestPoint_Pad_D1.0mm,1,GPIO6,
TP5,TestPoint_Pad_D1.0mm,1,GPIO28,
TP6,TestPoint_Pad_D1.0mm,1,GPIO29,
U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
U3,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,~,
U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,~,
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
