Designator,Mid X,Mid Y,Rotation,Layer
C1,130.0,-46.1,0.0,top
C10,120.175,-48.125,270.0,top
C11,109.8,-48.2,180.0,top
C12,109.1,-45.0,180.0,top
C13,109.52,-51.94,180.0,top
C15,121.55,-47.34,0.0,top
C16,120.0,-42.925,180.0,top
C2,125.71,-41.47,180.0,top
C3,119.375,-48.55,270.0,top
C4,109.52,-51.14,180.0,top
C5,109.1,-44.17,180.0,top
C6,113.3,-37.4,0.0,top
C9,117.925,-36.8,180.0,top
D2,101.6,-32.0,0.0,top
D3,101.8,-33.8,0.0,top
H1,129.93,-54.56,0.0,top
H2,101.95,-54.56,0.0,top
J1,129.1,-32.5,90.0,top
J10,124.975,-45.3,90.0,top
J2,115.06,-32.5,90.0,top
J3,122.7,-32.5,90.0,top
J4,109.295,-36.0,90.0,top
J5,106.57,-31.8,90.0,top
J6,103.85,-47.0,270.0,top
J7,123.76,-49.96,270.0,top
J8,128.83,-49.96,90.0,top
JP1,125.425,-36.275,270.0,top
L2,129.1,-36.4,180.0,top
R1,115.1,-37.4,180.0,top
R10,121.9,-36.85,180.0,top
R11,110.02,-31.92,90.0,top
R2,107.8,-44.5,90.0,top
R3,107.73,-49.5,90.0,top
R4,109.4,-47.2,0.0,top
R5,109.4,-46.0,180.0,top
R6,107.1,-38.2,0.0,top
R7,101.9,-30.8,0.0,top
R8,104.8,-34.2,180.0,top
R9,125.125,-39.345,180.0,top
S1,103.2,-36.6,180.0,top
S2,103.2,-40.2,180.0,top
TP1,111.19,-52.97,0.0,top
TP2,114.56,-53.23,0.0,top
TP3,116.55,-53.44,0.0,top
TP4,118.5,-52.98,0.0,top
TP5,108.2,-42.575,0.0,top
TP6,107.34,-40.46,0.0,top
U2,129.75,-43.475,180.0,top
U3,114.2,-40.705,0.0,top
U4,129.51,-39.995,180.0,top
U5,114.835,-47.84,180.0,top
X1,120.375,-45.125,270.0,top
